School Year,School Authority Category,School Authority Name,School Authority Code,Ungraded,ECS,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
1995/1996,Private,Lethbridge Preschool Services Project ,9705,,22,,,,,,,,,,,,,22
1995/1996,Private,Milk River Public K Society ,9710,,13,,,,,,,,,,,,,13
1995/1996,Private,The Schuler Early Childhood Service ,9720,,8,,,,,,,,,,,,,8
1995/1996,Private,Vulcan Kindergarten Assoc ,9724,,31,,,,,,,,,,,,,31
1995/1996,Private,Warner ECS ,9725,,15,,,,,,,,,,,,,15
1995/1996,Private,Bragg Creek Education Services Association ,9733,,31,,,,,,,,,,,,,31
1995/1996,Private,Reed Ranch Limited ,9734,,14,,,,,,,,,,,,,14
1995/1996,Private,Camrose Children's Centre ,9743,,19,,,,,,,,,,,,,19
1995/1996,Private,Nordic Community ECS Society ,9750,,24,,,,,,,,,,,,,24
1995/1996,Private,The Children's House Child Care Society ,9754,,22,,,,,,,,,,,,,22
1995/1996,Private,Thornhill Child Care Society ,9761,,19,,,,,,,,,,,,,19
1995/1996,Private,Duchess Early Childhood Development Organization ,9768,,34,,,,,,,,,,,,,34
1995/1996,Private,Acadia Valley Early Childhood Services ,9783,,6,,,,,,,,,,,,,6
1995/1996,Private,A Spoonful of Sugar Early Childhood Education Association ,9787,,9,,,,,,,,,,,,,9
1995/1996,Private,Calgary Quest Children's Society ,9795,9,50,,,,,,,,,,,,,59
1995/1996,Private,Raymond Kindergarten Society ,9803,,91,,,,,,,,,,,,,91
1995/1996,Private,Colinton Community  ECS Society ,9804,,7,,,,,,,,,,,,,7
1995/1996,Private,Empress Early Childhood Services Society ,9807,,6,,,,,,,,,,,,,6
1995/1996,Private,Irricana E.C.S. Society ,9811,,18,,,,,,,,,,,,,18
1995/1996,Private,Poplar Ridge ECS ,9814,,23,,,,,,,,,,,,,23
1995/1996,Private,Oliver Day Care Soc ,9823,,17,,,,,,,,,,,,,17
1995/1996,Private,Red Deer Child Care Society ,9824,,17,,,,,,,,,,,,,17
1995/1996,Private,Providence Child Development Society ,9827,,100,,,,,,,,,,,,,100
1995/1996,Private,St. Albert Day Care Society ,9829,,18,,,,,,,,,,,,,18
1995/1996,Private,Students' Union of the University of Alberta and Community Day Care Centre Society ,9831,,8,,,,,,,,,,,,,8
1995/1996,Private,Cereal Early Childhood Service Association ,9832,,8,,,,,,,,,,,,,8
1995/1996,Private,Rocky Mountain ECS ,9837,,118,,,,,,,,,,,,,118
1995/1996,Private,Edmonton NW Child Care Society ,9842,,66,,,,,,,,,,,,,66
1995/1996,Private,South Shore Children's Association ,9846,,7,,,,,,,,,,,,,7
1995/1996,Private,New Brigden ECS Assoc ,9847,,9,,,,,,,,,,,,,9
1995/1996,Private,"Westview Baptist Church of Calgary, Alberta ",9848,,23,,,,,,,,,,,,,23
1995/1996,Private,Lotsa Tots Early Childhood Society ,9851,,13,,,,,,,,,,,,,13
1995/1996,Private,Jasper Place Dc Centre ,9852,,15,,,,,,,,,,,,,15
1995/1996,Private,Alliance & District ECS Society ,9853,,10,,,,,,,,,,,,,10
1995/1996,Private,Blue Quills Native Education Council ,9857,,,,,,,,,,,,,,56,56
1995/1996,Private,Westbrook (ECS) Association ,9858,,13,,,,,,,,,,,,,13
1995/1996,Private,Kathyrn E.C.S. Society ,9859,,10,,,,,,,,,,,,,10
1995/1996,Private,Hillhurst Sunnyside Comm Assoc ,9860,,30,,,,,,,,,,,,,30
1995/1996,Private,Henderson Lake Kindergarten Society ,9863,,7,,,,,,,,,,,,,7
1995/1996,Private,Sifton E.C.S. Society ,9864,,36,,,,,,,,,,,,,36
1995/1996,Private,Beiseker ECS Society ,9867,,8,,,,,,,,,,,,,8
1995/1996,Private,Southview Kiddie Kampus Day Care Association ,9869,,49,,,,,,,,,,,,,49
1995/1996,Private,Didsbury Playgroup Society ,9871,,1,,,,,,,,,,,,,1
1995/1996,Private,Primrose Place Day Care ,9872,,20,,,,,,,,,,,,,20
1995/1996,Private,West End Day Care Society ,9876,,18,,,,,,,,,,,,,18
1995/1996,Private,Mount Royal College Day-Care Society ,9878,,18,,,,,,,,,,,,,18
1995/1996,Private,Society For Treatment of Autism (Calgary Region) ,9879,,12,,,,,,,,,,,,,12
1995/1996,Private,Beverly Day Care Society & Family Resource Centre ,9881,,25,,,,,,,,,,,,,25
1995/1996,Private,Arrowwood and District E.C.S. Society ,9885,,8,,,,,,,,,,,,,8
1995/1996,Private,Aslan Kindergarten ,9886,,15,,,,,,,,,,,,,15
1995/1996,Private,Home Opp For Multi Hand Ed Soc ,9887,,47,,,,,,,,,,,,,47
1995/1996,Private,The PREP Program - A Calgary Society to Promote Education for Individuals with Down Syndrome ,9894,,23,,,,,,,,,,,,,23
1995/1996,Private,Froebel Kindergarten Society of Alberta ,9895,,11,11,5,,,,,,,,,,,27
1995/1996,Private,Golden Rule Pre-School E.C.S. Society ,9896,,16,,,,,,,,,,,,,16
1995/1996,Private,Champion Kindergarten Association ,9897,,14,,,,,,,,,,,,,14
1995/1996,Private,Indus ECS Kindergarten Society ,9898,,34,,,,,,,,,,,,,34
1995/1996,Private,Expression's ECS Society East ,9899,,17,,,,,,,,,,,,,17
1995/1996,Private,Magic Mountain ECS Society ,9905,,30,,,,,,,,,,,,,30
1995/1996,Private,Lethbridge Montessori Society ,9906,,17,5,,,,,,,,,,,,22
1995/1996,Private,The Governing Council of the Salvation Army in Canada ,9907,,29,,,,,,,,,,,,,29
1995/1996,Private,ABC Head Start Society ,9909,,95,,,,,,,,,,,,,95
1995/1996,Private,Child's Way E.C.S. Association ,9911,,5,,,,,,,,,,,,,5
1995/1996,Private,Community Day Nursery ,9912,,10,,,,,,,,,,,,,10
1995/1996,Private,University Day Care Society ,9913,,17,,,,,,,,,,,,,17
1995/1996,Private,Young Men's Christian Association of Edmonton ,9915,,9,,,,,,,,,,,,,9
1995/1996,Private,Association for Christian Schooling in Calgary South ,9916,,14,20,21,10,6,2,2,2,1,1,1,,,80
1995/1996,Private,Machitawin Centre ,9918,,,,,,,,,,,,12,5,1,18
1995/1996,Private,Islamic Institute of Education ,9920,,,,,,,,,7,10,9,,1,,27
1995/1996,Private,Q.C.International Academies ,9923,,,,,,,,,,,7,6,19,,32
1995/1996,Private,Foothills_Creative Begin ECS ,9924,,9,,,,,,,,,,,,,9
1995/1996,Private,Montessori PreSch Central Calg ,9925,,18,,,,,,,,,,,,,18
1995/1996,Private,Riverbend ECS Society ,9927,,49,,,,,,,,,,,,,49
1995/1996,Private,ABC ECS Association ,9928,,22,,,,,,,,,,,,,22
1995/1996,Private,Soc of Our Lady Ed of Yg Child ,9930,,156,,,,,,,,,,,,,156
1995/1996,Private,Woodbine DayCare ECS Association ,9931,,8,,,,,,,,,,,,,8
1995/1996,Private,The Western Canadian District of the Christian & Missionary Alliance ,9933,,30,,,,,,,,,,,,,30
1995/1996,Private,Marlborough Day Nursery ECS Limited ,9934,,24,,,,,,,,,,,,,24
1995/1996,Private,Little People's Community ,9935,,7,,,,,,,,,,,,,7
1995/1996,Private,Creative Children's Kindergarten Society ,9936,,12,,,,,,,,,,,,,12
1995/1996,Private,The Canadian Reformed School Society of Calgary ,9938,,,7,1,5,3,3,1,2,2,1,2,2,,29
1995/1996,Private,The Franciscan Sisters Benevolent Society ,9939,,17,,,,,,,,,,,,,17
1995/1996,Private,Providence Christian School Society ,9942,,6,11,6,5,4,1,9,3,,5,4,,,54
1995/1996,Private,Victory Christian Fellowship of Lethbridge (1983) Inc. ,9945,,11,,,,,,,,,,,,,11
1995/1996,Private,Trinity Christian School Association ,9946,1,,40,36,21,51,37,36,33,40,14,20,16,13,358
1995/1996,Private,Grande Prairie Kindergarten ,9948,,19,,,,,,,,,,,,,19
1995/1996,Private,Lee Communications Association Incorporated ,9949,,,,,,,,,,,,,1,5,6
1995/1996,Private,Pants and Petticoats Prep Sch ,9950,,22,,,,,,,,,,,,,22
1995/1996,Private,Cause and Effect Foundation ,9951,,17,,,,,,,,,,,,,17
1995/1996,Private,Little Munchkins' ECS Assoc ,9954,,15,,,,,,,,,,,,,15
1995/1996,Private,Evangelical Free Ch of Champ ,9958,,,,1,1,2,2,4,3,,1,,,,14
1995/1996,Private,Chief Shot Both Sides Traditional Science Institute ,9959,,3,,,1,1,2,4,13,1,,2,1,1,29
1995/1996,Provincial,Fairview College ,9122,,,,,,,,,,,,2,,7,9
1995/1996,Provincial,Alberta Distance Learning Cen ,9201,,,,,,,,,,,,,1,,1
1995/1996,Provincial,AVC Edmonton ,9216,,,,,,,,,,,,,1,,1
1995/1996,Provincial,AVC Calgary ,9217,,,,,,,,,,,,,,1,1
1995/1996,Provincial,Olds College ,9236,,,,,,,,,,,,,1,5,6
1995/1996,Provincial,AVC Lac La Biche ,9239,,,,,,,,,,,,2,,,2
1996/1997,Public,Horizon School Division No. 67 ,1045,,231,300,302,312,315,309,282,305,284,276,250,229,202,3597
1996/1997,Public,Prairie Rose Regional Division No. 8 ,1055,,217,330,340,297,300,348,316,326,321,295,275,164,151,3680
1996/1997,Public,Peace River School Division No. 10 ,1070,,199,344,302,323,318,311,348,331,338,328,337,305,291,4075
1996/1997,Public,Grande Yellowhead Regional Division No. 35 ,1085,,464,479,527,466,508,482,510,504,499,523,635,531,585,6713
1996/1997,Public,Sturgeon School Division No. 24 ,1110,40,351,400,378,369,382,375,393,361,388,374,390,363,456,5020
1996/1997,Public,Prairie Land Regional Division No. 25 ,1115,,159,186,166,164,195,179,154,215,175,169,148,142,157,2209
1996/1997,Public,Livingstone Range School Division No. 68 ,1135,,288,376,366,353,365,379,420,436,439,438,400,394,392,5046
1996/1997,Public,Buffalo Trail Regional Division No. 28 ,1155,,208,413,430,391,373,443,416,437,429,422,387,350,400,5099
1996/1997,Public,Pembina Hills Regional Division No. 7 ,1175,4,374,351,363,365,363,379,403,404,420,432,427,429,445,5159
1996/1997,Public,Foothills School Division No. 38 ,1180,43,296,477,482,477,521,533,555,533,495,494,533,452,539,6430
1996/1997,Public,Rocky View School Division No. 41 ,1190,,535,781,830,929,892,1007,948,963,1007,964,923,891,932,11602
1996/1997,Public,High Prairie School Division No. 48 ,1220,,307,304,301,249,275,281,271,299,275,265,273,253,257,3610
1996/1997,Public,Northern Lights School Division No. 69 ,1245,,466,580,532,493,549,558,519,537,488,509,487,417,468,6603
1996/1997,Public,Fort Vermilion School Division No. 52 ,1250,,296,302,264,249,237,266,231,264,248,209,241,137,131,3075
1996/1997,Public,Northland School Division No. 61 ,1280,,181,350,280,291,257,263,290,274,230,174,128,72,50,2840
1996/1997,Public,Wild Rose School Division No. 66 ,1325,,204,420,413,425,464,407,420,483,461,482,466,398,488,5531
1996/1997,Public,Grasslands Regional Division No. 6 ,2045,,235,284,289,328,270,298,324,307,333,328,288,282,300,3866
1996/1997,Public,Clearview Regional Division No. 24 ,2065,7,139,215,232,255,241,223,214,275,252,240,283,214,267,3057
1996/1997,Public,Wetaskiwin Regional Division No. 11 ,2115,42,300,387,358,365,375,384,381,369,394,332,414,382,383,4866
1996/1997,Public,Aspen View Regional Division No. 19 ,2125,,294,309,265,287,267,269,338,326,309,260,311,254,257,3746
1996/1997,Public,Wolf Creek Regional Division No. 32 ,2145,,534,572,611,593,595,715,590,589,619,606,602,562,623,7811
1996/1997,Public,Golden Hills Regional Division No. 15 ,2155,,427,483,445,481,480,470,497,480,486,453,436,415,444,5997
1996/1997,Public,St. Paul Education Regional Division No. 1 ,2185,,250,319,290,300,313,310,319,317,304,305,330,298,306,3961
1996/1997,Public,Elk Island Public Schools Regional Division No. 14 ,2195,,995,1013,1065,1051,1030,1170,1113,1166,1198,1160,1172,1126,1530,14789
1996/1997,Public,Chinook's Edge Regional Division No. 5 ,2225,,565,850,885,865,868,876,877,844,845,871,865,852,859,10922
1996/1997,Public,Black Gold Regional Division No. 18 ,2245,22,584,712,596,661,630,616,687,719,690,642,727,634,874,8794
1996/1997,Public,Palliser Regional Division No. 26 ,2255,,248,349,327,324,320,329,349,363,293,319,334,302,268,4125
1996/1997,Public,Northern Gateway Regional Division No. 10 ,2275,4,406,469,449,443,414,467,441,489,533,449,497,427,438,5926
1996/1997,Public,Battle River Regional Division No. 31 ,2285,,348,593,560,612,587,591,652,657,612,661,677,703,667,7920
1996/1997,Public,Parkland School Division No. 70 ,2305,115,661,714,693,682,675,726,751,801,764,722,732,675,834,9545
1996/1997,Public,Westwind Regional Division No. 9 ,2310,,197,343,323,356,329,381,349,412,387,419,334,380,352,4562
1996/1997,Public,Edmonton School District No. 7 ,3020,1358,5922,6022,5653,5649,5501,5661,5707,5729,5816,5645,6547,5510,6843,77563
1996/1997,Public,Calgary School District No. 19 ,3030,,6778,7644,7675,7442,7340,7324,7629,7590,7693,7264,8258,7813,9224,99674
1996/1997,Public,Lethbridge School District No. 51 ,3040,,523,586,559,545,556,627,572,606,658,590,756,716,819,8113
1996/1997,Public,Medicine Hat School District No. 76 ,3050,,446,557,504,455,416,494,508,516,470,522,523,556,602,6569
1996/1997,Public,Canadian Rockies Regional Division No. 12 ,3065,15,227,214,237,185,201,196,206,189,209,155,156,143,159,2492
1996/1997,Public,Red Deer School District No. 104 ,3070,111,635,668,670,673,620,677,688,648,681,728,725,689,843,9056
1996/1997,Public,Lloydminster Public School Division ,3170,,141,144,124,139,149,126,130,114,109,115,240,247,280,2058
1996/1997,Public,Grande Prairie School District No. 2357 ,3240,127,311,337,351,326,343,370,386,332,351,356,581,364,326,4861
1996/1997,Public,Fort McMurray School District No. 2833 ,3260,,303,359,289,316,325,334,358,381,347,359,405,365,394,4535
1996/1997,Public,Peace Wapiti Regional Division No. 33 ,3345,,407,463,462,457,425,503,493,532,529,495,469,387,353,5975
1996/1997,Public,Greater St. Albert Catholic Regional Division No. 29 ,4077,,510,512,521,535,533,549,557,639,675,619,535,490,554,7229
1996/1997,Separate,Calgary Roman Catholic Separate School District No. 1 ,4010,,3031,3443,3319,3251,3182,3142,3112,3061,2997,2736,2606,2405,2716,39001
1996/1997,Separate,Edmonton Roman Catholic Separate School District No. 7 ,4020,,2437,2562,2466,2500,2405,2368,2412,2356,2439,2383,2497,2191,2513,31529
1996/1997,Separate,Vegreville Catholic Separate School District No. 16 ,4050,,61,72,68,56,51,54,58,46,52,36,47,20,36,657
1996/1997,Separate,Red Deer Roman Catholic Separate School District No. 17 ,4060,12,232,281,269,259,240,279,266,258,324,222,261,242,249,3394
1996/1997,Separate,Slave Lake RCSSD #364 ,4074,,32,42,42,54,34,44,39,32,35,26,29,21,19,449
1996/1997,Separate,Lakeland Roman Catholic Separate School District No. 150 ,4105,3,184,184,186,183,169,153,176,109,134,162,116,138,104,2001
1996/1997,Separate,Grande Prairie Roman Catholic Separate School District No. 28 ,4130,,256,277,252,246,244,223,239,227,230,194,164,176,158,2886
1996/1997,Separate,Fort McMurray Roman Catholic Separate School District No. 32 ,4160,,325,293,302,287,274,275,287,304,304,247,260,223,274,3655
1996/1997,Separate,Christ the Redeemer Catholic Separate Regional Division No. 3 ,4208,,,311,305,285,283,279,259,231,185,164,125,111,91,2629
1996/1997,Separate,North Peace Roman Catholic Separate School District No. 43 ,4210,,75,103,108,96,101,93,98,115,116,102,71,58,58,1194
1996/1997,Separate,Holy Family Catholic Separate Regional Division No. 17 ,4211,,80,110,107,95,106,89,72,70,70,59,44,43,24,969
